"Provinsi","Sekolah","Siswa","Mengulang","Putus Sekolah","Kepala Sekolah dan Guru(<S1)","Kepala Sekolah dan Guru(≥ S1)","Tenaga Kependidikan(SM)","Tenaga Kependidikan(>SM)","Rombongan Belajar","Ruang kelas(baik)","Ruang kelas(rusak ringan)","Ruang kelas(rusak sedang)","Ruang kelas(rusak berat)",""
"Prov. D.K.I. Jakarta","2224","756455","1202","869","1089","38305","6967","1569","27830","23320","3886","717","345",""
"Prov. Jawa Barat","19553","4487262","4778","5675","5007","209252","27487","3353","169704","59592","46006","34432","14397",""
"Prov. Jawa Tengah","18618","2595050","6909","2399","2337","167535","21325","2473","127266","51050","42356","26321","13457",""
"Prov. D.I. Yogyakarta","1846","270610","357","75","326","19771","4536","866","13719","8217","3878","1827","548",""
"Prov. Jawa Timur","18980","2530849","4694","3327","2950","180465","21116","3818","134724","58679","42896","24218","14389",""
"Prov. Aceh","3532","489863","1406","905","2062","47490","6024","1096","25829","10261","7483","6076","3122",""
"Prov. Sumatera Utara","9751","1524481","4896","4390","3279","108599","12157","2015","74970","33726","21203","14880","9371",""
"Prov. Sumatera Barat","4206","592365","4643","858","1022","47064","9043","2167","31481","12164","9121","7904","3600",""
"Prov. Riau","3815","776574","4446","1388","2214","50310","7296","1334","35120","15935","8745","6458","3719",""
"Prov. Jambi","2464","368620","2006","835","1177","26403","4562","794","18911","6857","5787","4701","2377",""
"Prov. Sumatera Selatan","4719","882011","6469","1976","2171","59059","9744","1676","40713","15358","10839","8665","3522",""
"Prov. Lampung","4726","798892","2412","833","2096","55421","6589","821","38340","13582","11111","9451","3884",""
"Prov. Kalimantan Barat","4447","563178","9801","1324","1751","38364","4336","504","31317","10878","8540","7243","4087",""
"Prov. Kalimantan Tengah","2650","276421","2806","675","855","25030","2078","238","17694","6741","5247","4401","2089",""
"Prov. Kalimantan Selatan","2920","353174","3201","532","788","29351","4045","983","20814","9040","6053","5091","1638",""
"Prov. Kalimantan Timur","1929","419472","2063","669","679","25737","5811","803","18585","9677","4432","2326","1497",""
"Prov. Sulawesi Utara","2209","218823","728","435","859","18866","870","130","14384","6255","3707","3126","1924",""
"Prov. Sulawesi Tengah","2944","312352","3004","1033","1974","26456","7219","645","19335","7730","5247","4750","2887",""
"Prov. Sulawesi Selatan","6434","883153","3300","1613","1617","69029","11685","2281","46819","16108","11949","13128","5990",""
"Prov. Sulawesi Tenggara","2347","294170","1643","784","992","26570","3501","397","16878","5867","4370","4196","2704",""
"Prov. Maluku","1815","206984","1933","1076","2020","16351","2257","183","11920","4543","2456","3536","2230",""
"Prov. Bali","2409","383616","183","179","346","25097","6958","1196","17327","8646","4835","3042","1142",""
"Prov. Nusa Tenggara Barat","3330","512620","1501","1235","1273","42660","4470","790","24116","7795","7818","6377","1520",""
"Prov. Nusa Tenggara Timur","5225","663307","8887","2771","2458","52919","8840","1192","36988","12941","11971","10040","6707",""
"Prov. Papua","831","116836","1605","651","831","6812","727","123","6031","2010","1358","1824","872",""
"Prov. Bengkulu","1407","194870","1313","390","507","16355","2403","363","10570","4232","3371","3359","717",""
"Prov. Maluku Utara","1317","141138","1126","630","1465","11222","1496","80","8480","2544","2167","2919","1269",""
"Prov. Banten","4610","1203432","2551","1779","1560","56799","6671","1379","44351","20757","10581","6117","3434",""
"Prov. Kepulauan Bangka Belitung","833","161703","1202","332","198","9577","3351","709","6827","3358","1740","1285","1047",""
"Prov. Gorontalo","931","108058","1446","458","159","8455","1410","298","6090","3032","1491","1603","614",""
"Prov. Kepulauan Riau","982","227249","651","385","573","13859","3726","400","9871","5900","2050","862","650",""
"Prov. Papua Barat","569","71737","2049","474","533","4895","407","55","4056","1656","1183","737","339",""
"Prov. Sulawesi Barat","1329","143300","1092","511","1036","13077","3881","371","9037","2570","2065","2533","2055",""
"Prov. Kalimantan Utara","485","79877","364","188","168","6049","1184","166","4141","1976","887","549","582",""
"Luar Negeri","124","17789","56","89","76","450","15","5","913","594","169","9","5",""
"Prov. Papua Tengah","553","143052","3741","1106","817","4311","241","35","5095","1683","1461","1029","301",""
"Prov. Papua Selatan","606","94976","5003","936","613","3857","266","30","4346","1210","1252","948","596",""
"Prov. Papua Pegunungan","665","140165","3978","928","1008","3086","157","15","5003","1319","1224","898","875",""
"Prov. Papua Barat Daya","547","60227","1347","334","279","4914","327","35","3815","1484","1006","712","509",""
